fuente,L,arm,p,seed,primaria,ber_test,ber_test_final,ber_test_bnfix,ber_val,mejor_step,ber_top90,ber_top50,ber_tapados
lowdim,250,stacked_rbm,0.0,3,False,0.036796100437641144,0.036796100437641144,nan,0.036826301366090775,30000,0.009269556030631065,3.400000059627928e-05,nan
lowdim,250,stacked_rbm,0.1,3,False,0.034406401216983795,0.034395501017570496,0.03441010043025017,0.03431529924273491,29250,0.007639777846634388,1.0400000064691994e-05,0.11264219660976305
lowdim,250,stacked_rbm,0.25,3,False,0.040040601044893265,0.04002569988369942,0.04001479968428612,0.0400536023080349,27750,0.01105388905853033,2.4599999960628338e-05,0.10855623056547277
lowdim,125,ladder_random,0.0,3,False,0.08462440222501755,0.08462440222501755,nan,0.08469130098819733,30000,0.04931644722819328,0.00243460014462471,nan
lowdim,125,ladder_random,0.1,3,False,0.08365990221500397,0.08368320018053055,0.08365210145711899,0.08368679881095886,28500,0.048300113528966904,0.0020534000359475613,0.12298376822889345
lowdim,125,ladder_random,0.25,3,False,0.08159000426530838,0.08158320188522339,0.08158230036497116,0.08173009753227234,29250,0.0463121123611927,0.0017376000760123134,0.12815591129537923
lowdim,125,stacked_rbm,0.0,3,False,0.07040650397539139,0.07044640183448792,nan,0.07052499800920486,27000,0.035806555300951004,0.0009758000378496945,nan
lowdim,125,stacked_rbm,0.1,3,False,0.07052600383758545,0.07048109918832779,0.07049889862537384,0.07057230174541473,28500,0.03581344336271286,0.0008779999916441739,0.11834554837807187
lowdim,125,stacked_rbm,0.25,3,False,0.0767441987991333,0.07674700021743774,0.07674749940633774,0.0767723023891449,29250,0.0417071133852005,0.00135859998408705,0.12466169526661292
lowdim,70,ladder_random,0.0,3,False,0.13479310274124146,0.13483360409736633,nan,0.13490669429302216,29250,0.10062266886234283,0.01757200062274933,nan
lowdim,70,ladder_random,0.1,3,False,0.14436280727386475,0.1444305032491684,0.1443721055984497,0.14463180303573608,29250,0.11064033210277557,0.02294060029089451,0.17319684457167409
lowdim,70,ladder_random,0.25,3,False,0.13911990821361542,0.1391213983297348,0.13909989595413208,0.1394283026456833,30000,0.1051647812128067,0.020017201080918312,0.17300208261353603
lowdim,70,stacked_rbm,0.0,3,False,0.11459720134735107,0.11466120183467865,nan,0.11435410380363464,29250,0.07974322140216827,0.009999600239098072,nan
lowdim,70,stacked_rbm,0.1,3,False,0.11417879909276962,0.11417720466852188,0.11424610018730164,0.11411680281162262,28500,0.07927444577217102,0.009477199986577034,0.14709012155093598
lowdim,70,stacked_rbm,0.25,3,False,0.11609309911727905,0.11606159806251526,0.11690109968185425,0.11613920331001282,29250,0.08106978237628937,0.009871800430119038,0.1529461303696879
lowdim,35,ladder_random,0.0,3,False,0.2668083906173706,0.2668408155441284,nan,0.26701289415359497,29250,0.24341411888599396,0.146982803940773,nan
lowdim,35,ladder_random,0.1,3,False,0.2513146996498108,0.25126880407333374,0.25127971172332764,0.2516274154186249,29250,0.22646178305149078,0.12697219848632812,0.2688778645403996
lowdim,35,ladder_random,0.25,3,False,0.24647600948810577,0.24648059904575348,0.24647250771522522,0.24654710292816162,29250,0.22120633721351624,0.12083340436220169,0.2642543859649123
lowdim,35,stacked_rbm,0.0,3,False,0.18967260420322418,0.19454769790172577,nan,0.19003669917583466,5250,0.15943866968154907,0.05905760079622269,nan
lowdim,35,stacked_rbm,0.1,3,False,0.19010020792484283,0.19064590334892273,0.188829705119133,0.1901032030582428,5250,0.15980778634548187,0.059243399649858475,0.215991966547264
lowdim,35,stacked_rbm,0.25,3,False,0.18825149536132812,0.18884190917015076,0.18924060463905334,0.18848749995231628,28500,0.15790434181690216,0.05796800181269646,0.22109853865151574
code,250,ladder_random,0.0,1,False,0.24769259989261627,0.2782841920852661,nan,0.2475053071975708,1500,0.22273756563663483,0.12704819440841675,nan
code,250,ladder_random,0.1,1,False,0.2478238046169281,0.26445499062538147,0.24786320328712463,0.2475731074810028,1500,0.22275367379188538,0.12735740840435028,0.4998068454763811
code,250,ladder_random,0.25,1,False,0.24792510271072388,0.2728620171546936,0.2479275017976761,0.24778519570827484,1500,0.22288399934768677,0.12729419767856598,0.5002740803293608
code,250,stacked_rbm,0.0,1,False,0.24727129936218262,0.24731341004371643,nan,0.2472466081380844,28500,0.219516783952713,0.019460199400782585,nan
code,250,stacked_rbm,0.1,1,False,0.24441219866275787,0.2443893998861313,0.24437899887561798,0.2444014996290207,29250,0.21649812161922455,0.022991400212049484,0.48091573258606884
code,250,stacked_rbm,0.25,1,False,0.26192599534988403,0.26194509863853455,0.26192641258239746,0.26210451126098633,29250,0.23571044206619263,0.03671799972653389,0.48838271784381065
code,125,ladder_random,0.0,1,False,0.3441683053970337,0.36448729038238525,nan,0.34413859248161316,1500,0.3282672166824341,0.25257518887519836,nan
code,125,ladder_random,0.1,1,False,0.3431771993637085,0.3750517964363098,0.342865914106369,0.3431932032108307,2250,0.3270987868309021,0.24617640674114227,0.4999379503602882
code,125,ladder_random,0.25,1,False,0.3419262170791626,0.3732343018054962,0.34158629179000854,0.3417927920818329,2250,0.3256579041481018,0.2461400032043457,0.49994134000255464
code,125,stacked_rbm,0.0,1,False,0.36849871277809143,0.36851370334625244,nan,0.3683443069458008,28500,0.3538033366203308,0.23864799737930298,nan
