fuente,seed,L,rate,p,modo,vara,ber_test,ber_test_final,ber_test_bnfix,ber_val,mejor_step,ber_top90,ber_top50,ber_tapados
lowdim,2,70,0.14,0.1,mask,0.1776,0.13961240649223328,0.13960939645767212,0.13962310552597046,0.13958969712257385,30000,0.1056874468922615,0.020266801118850708,0.16893039049235994
lowdim,2,70,0.14,0.25,mask,0.1776,0.14617469906806946,0.14616890251636505,0.1461879014968872,0.14611370861530304,30000,0.1126197800040245,0.02410680055618286,0.17893419034343733
lowdim,2,70,0.14,0.5,mask,0.1776,0.13248160481452942,0.13242420554161072,0.1324222981929779,0.13250580430030823,29250,0.09813811630010605,0.01727760024368763,0.16622244409480416
lowdim,3,250,0.5,0.0,mask,0.0465,0.038561899214982986,0.03856860101222992,nan,0.03857770189642906,29250,0.010394667275249958,5.740000051446259e-05,nan
lowdim,3,250,0.5,0.1,mask,0.0465,0.034797199070453644,0.03483489900827408,0.03481680154800415,0.034711699932813644,28500,0.007896333932876587,1.2600000445672777e-05,0.11380924546494607
lowdim,3,250,0.5,0.25,mask,0.0465,0.039994802325963974,0.03999419882893562,0.03998279944062233,0.03989339992403984,26250,0.01098155602812767,2.7399999453336932e-05,0.10785962672911308
lowdim,3,250,0.5,0.5,mask,0.0465,0.04299769923090935,0.042997200042009354,0.04300110042095184,0.04281670227646828,27750,0.014004555530846119,0.00015520000306423753,0.11800350696895112
lowdim,3,70,0.14,0.0,mask,0.1776,0.13479310274124146,0.13483360409736633,nan,0.13490669429302216,29250,0.10062266886234283,0.01757200062274933,nan
lowdim,3,70,0.14,0.1,mask,0.1776,0.14436280727386475,0.1444305032491684,0.1443721055984497,0.14463180303573608,29250,0.11064033210277557,0.02294060029089451,0.17319684457167409
lowdim,3,70,0.14,0.25,mask,0.1776,0.13911990821361542,0.1391213983297348,0.13909989595413208,0.1394283026456833,30000,0.1051647812128067,0.020017201080918312,0.17300208261353603
lowdim,3,70,0.14,0.5,mask,0.1776,0.1318013072013855,0.13180239498615265,0.13180799782276154,0.13183939456939697,30000,0.09751778095960617,0.01703299954533577,0.16715605611950088
markov,0,250,0.5,0.0,mask,0.025,0.013477600179612637,0.013512500561773777,nan,0.013599599711596966,29250,0.0015447777695953846,0.00017579999985173345,nan
markov,0,250,0.5,0.1,mask,0.025,0.01381279993802309,0.013808900490403175,0.01380810048431158,0.013933400623500347,28500,0.001587222213856876,0.00017379999917466193,0.07232844138063556
markov,0,250,0.5,0.25,mask,0.025,0.02023709937930107,0.0202334001660347,0.020240500569343567,0.020379099994897842,28500,0.0031998888589441776,0.00036700000055134296,0.07078927810256301
markov,0,250,0.5,0.5,mask,0.025,0.02659199945628643,0.026582900434732437,0.026596799492836,0.026692301034927368,24750,0.007169111166149378,0.0007471999851986766,0.08396998503334029
markov,0,70,0.14,0.0,mask,0.091,0.1005719006061554,0.10097450017929077,nan,0.10126800090074539,27000,0.06510289013385773,0.018300600349903107,nan
markov,0,70,0.14,0.1,mask,0.091,0.10224810242652893,0.1029748022556305,0.10179059952497482,0.1027987003326416,27000,0.0657016709446907,0.021497000008821487,0.12083763681054292
markov,0,70,0.14,0.25,mask,0.091,0.09983170032501221,0.09983289986848831,0.09965430200099945,0.10031510144472122,28500,0.0649418905377388,0.02341720089316368,0.11911753476476936
markov,0,70,0.14,0.5,mask,0.091,0.10412900149822235,0.10456199944019318,0.10402390360832214,0.10455609858036041,24750,0.0710538923740387,0.028529200702905655,0.12106124603695698
markov,1,250,0.5,0.0,mask,0.025,0.013975400477647781,0.014028999954462051,nan,0.014074999839067459,29250,0.0016603333642706275,0.0001871999993454665,nan
